run_id,protocol,task_domain,sample_index,repetition,total_prompt_tokens,total_completion_tokens,total_tokens,total_latency_ms,total_messages,any_truncation,any_json_parse_error,completion_score,final_answer,provider,model
94988703,NL,MATH,0,0,586,259,845,5038.63,3,False,False,1.0,"The farmer's chickens lay 16 eggs per day. Each day, 3 eggs are used for breakfast and 4 for muffins, totaling 7 eggs used. This leaves 9 eggs to sell. At a price of 2 dollars per egg, the daily incom",deepseek,deepseek-v4-flash
f1719d31,NL,MATH,0,1,575,235,810,4590.65,3,False,False,1.0,"The farmer's chickens lay 16 eggs per day. She eats 3 for breakfast and uses 4 for muffins, leaving 9 eggs to sell. At $2 per egg, she earns $18 each day at the farmers' market.

#### 18",deepseek,deepseek-v4-flash
80a938f9,NL,MATH,1,0,468,193,661,4071.61,3,False,False,1.0,"The amount of blue fiber needed is 2 bolts, and the amount of white fiber needed is half of that, which is 1 bolt. Adding them together gives a total of 3 bolts. #### 3",deepseek,deepseek-v4-flash
cfdc3e33,NL,MATH,1,1,472,168,640,3833.72,3,False,False,1.0,"The total amount of fiber needed is 3 bolts.

#### 3",deepseek,deepseek-v4-flash
c7a4d7bd,NL,MATH,2,0,567,279,846,5123.11,3,False,False,1.0,"Josh spent $80,000 to buy the house and $50,000 on repairs, for a total cost of $130,000. The house's value increased by 150 percent, which is $120,000, making the new value $200,000. Subtracting his ",deepseek,deepseek-v4-flash
46fa440d,NL,MATH,2,1,571,290,861,5494.63,3,False,False,1.0,"Josh spent $80,000 to buy the house and $50,000 on repairs, for a total cost of $130,000. The house value increased by 150 percent, making it worth 250 percent of the original purchase price, which is",deepseek,deepseek-v4-flash
4f44b006,NL,MATH,3,0,480,203,683,4396.95,3,False,False,1.0,"James runs 3 sprints per session and has 3 sessions per week, so he runs 9 sprints in total each week. Each sprint is 60 meters, so the total distance run in one week is 540 meters. The final numeric ",deepseek,deepseek-v4-flash
a30d4649,NL,MATH,3,1,463,177,640,4247.51,3,False,False,1.0,"James runs 3 sprints per session, each 60 meters, for a total of 180 meters per session. With 3 sessions per week, he runs 540 meters per week. The final numeric answer is #### 540.",deepseek,deepseek-v4-flash
a5803556,NL,MATH,4,0,688,279,967,5406.6,3,False,False,1.0,"The farmer needs to feed 20 chickens 3 cups of feed each per day, which totals 60 cups. So far, 15 cups have been given in the morning and 25 cups in the afternoon, for a total of 40 cups. Therefore, ",deepseek,deepseek-v4-flash
8b56fb66,NL,MATH,4,1,690,286,976,5609.94,3,False,False,1.0,"The total feed needed per day for 20 chickens is 20 times 3 cups, which equals 60 cups. The morning and afternoon feedings provided 15 cups plus 25 cups, totaling 40 cups. Subtracting the 40 cups alre",deepseek,deepseek-v4-flash
df729444,NL,READING,0,0,706,98,804,3046.07,3,False,False,0.4,The Denver Broncos represented the AFC at Super Bowl 50.,deepseek,deepseek-v4-flash
43e470e0,NL,READING,0,1,708,101,809,3302.12,3,False,False,0.364,The Denver Broncos were the AFC representative at Super Bowl 50.,deepseek,deepseek-v4-flash
c35a398c,NL,READING,1,0,691,83,774,2925.76,3,False,False,0.4,The Carolina Panthers represented the NFC at Super Bowl 50.,deepseek,deepseek-v4-flash
a6daa25a,NL,READING,1,1,676,68,744,2973.46,3,False,False,0.4,The Carolina Panthers represented the NFC at Super Bowl 50.,deepseek,deepseek-v4-flash
9688c24e,NL,READING,2,0,695,100,795,3223.0,3,False,False,0.846,"Levi's Stadium is located in Santa Clara, California, in the San Francisco Bay Area.",deepseek,deepseek-v4-flash
cdc6b748,NL,READING,2,1,675,77,752,3134.05,3,False,False,0.64,"Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",deepseek,deepseek-v4-flash
e610a49f,NL,READING,3,0,679,74,753,3177.7,3,False,False,0.5,The Denver Broncos won Super Bowl 50.,deepseek,deepseek-v4-flash
a2fe7db3,NL,READING,3,1,684,79,763,2877.91,3,False,False,0.5,The Denver Broncos won Super Bowl 50.,deepseek,deepseek-v4-flash
20242842,NL,READING,4,0,709,98,807,3463.08,3,False,False,0.167,Gold was the color used to emphasize the 50th anniversary of the Super Bowl.,deepseek,deepseek-v4-flash
4dcb85d4,NL,READING,4,1,704,91,795,3166.97,3,False,False,0.182,Gold was used to emphasize the 50th anniversary of the Super Bowl.,deepseek,deepseek-v4-flash
e87b80b0,NL,NEWS,0,0,726,344,1070,5910.49,3,False,False,0.283,"The Federal Reserve held its benchmark interest rate steady at a range of 4.25% to 4.50% during its March 2025 meeting. Chair Jerome Powell stated that inflation remains above the 2% target, currently",deepseek,deepseek-v4-flash
fb2210fb,NL,NEWS,0,1,782,390,1172,6505.73,3,False,False,0.391,"The Federal Reserve held its benchmark interest rate steady at 4.25% to 4.50% during its March 2025 meeting. Chair Jerome Powell stated that inflation remains above the 2% target at 2.8%, while the la",deepseek,deepseek-v4-flash
6f707b1a,NL,NEWS,1,0,666,310,976,5509.78,3,False,False,0.349,"Apple reported record Q1 fiscal year 2025 earnings with total revenue of 124.3 billion dollars, a 4 percent increase from the previous year. iPhone revenue was 69.1 billion dollars, while services rev",deepseek,deepseek-v4-flash
98fa6925,NL,NEWS,1,1,655,299,954,5292.48,3,False,False,0.349,"Apple reported record earnings for the first quarter of fiscal year 2025, with total revenue of 124.3 billion dollars, a 4 percent increase from the previous year. iPhone revenue was 69.1 billion doll",deepseek,deepseek-v4-flash
5532de5d,NL,NEWS,2,0,722,351,1073,6078.72,3,False,False,0.386,"Tesla has announced a new affordable electric vehicle called the Model Q, priced at $25,000. The Model Q offers a 280-mile range and can accelerate from 0 to 60 mph in 5.8 seconds. Production is sched",deepseek,deepseek-v4-flash
81671743,NL,NEWS,2,1,665,301,966,5653.36,3,False,False,0.359,"Tesla has announced a new affordable electric vehicle named the Model Q, priced at $25,000 and aimed at the mass market. The car offers a 280-mile range and can accelerate from 0 to 60 miles per hour ",deepseek,deepseek-v4-flash
ceac1f19,NL,NEWS,3,0,712,351,1063,5687.13,3,False,False,0.415,"The global chip shortage is easing as TSMC expands, with its Arizona fab now producing 4nm chips at a 90% yield rate. Global semiconductor lead times have dropped from 26 weeks to 14 weeks. TSMC's rev",deepseek,deepseek-v4-flash
4dfbdb27,NL,NEWS,3,1,714,345,1059,6096.63,3,False,False,0.392,"The global chip shortage is easing, as TSMC's Arizona fab is now producing 4nm chips with a 90% yield rate, and semiconductor lead times have dropped from 26 weeks to 14 weeks. TSMC reported a 25% yea",deepseek,deepseek-v4-flash
ccb3d93c,NL,NEWS,4,0,695,346,1041,5767.94,3,False,False,0.401,"The European Union has enacted the AI Act, the world's first comprehensive AI law. Under this regulation, high-risk AI systems must undergo conformity assessments. Companies that violate the law can f",deepseek,deepseek-v4-flash
6d8dd7c4,NL,NEWS,4,1,654,305,959,5322.26,3,False,False,0.382,"The European Union has enacted the AI Act, the world's first comprehensive AI law, which requires high-risk AI systems to undergo conformity assessments. Companies that violate the law can face fines ",deepseek,deepseek-v4-flash
c374a16a,MARKDOWN,MATH,0,0,650,347,997,6182.56,3,False,False,1.0,"## Final Answer

The farmer earns $18 per day from selling eggs.

- Total eggs laid daily: 16
- Eggs used for breakfast: 3
- Eggs used for muffins: 4
- Eggs sold daily: 16 - 3 - 4 = 9
- Price per egg:",deepseek,deepseek-v4-flash
a237294a,MARKDOWN,MATH,0,1,683,372,1055,6345.85,3,False,False,1.0,"## Final Answer

Janet's ducks lay 16 eggs per day. Each day, 3 eggs are eaten for breakfast and 4 are used for muffins, totaling 7 eggs used. This leaves 16 - 7 = 9 eggs for sale. At $2 per egg, the ",deepseek,deepseek-v4-flash
ee4be33d,MARKDOWN,MATH,1,0,604,309,913,5371.66,3,False,False,1.0,"## Final Answer

The total amount of fiber is 3 bolts.

#### 3",deepseek,deepseek-v4-flash
bab39b42,MARKDOWN,MATH,1,1,549,278,827,5429.66,3,False,False,1.0,"## Solution

- Blue fiber: 2 bolts  
- White fiber: half of blue fiber = 1 bolt  
- Total fiber: 2 + 1 = 3 bolts  

#### 3",deepseek,deepseek-v4-flash
3dc10297,MARKDOWN,MATH,2,0,733,478,1211,7311.47,3,False,False,1.0,"## Final Answer

The profit from the house flip is calculated as follows:

- **Total cost**: $80,000 (purchase) + $50,000 (repairs) = $130,000
- **Final house value**: $80,000 + (150% of $80,000) = $8",deepseek,deepseek-v4-flash
d6e859d0,MARKDOWN,MATH,2,1,751,489,1240,7643.61,3,False,False,1.0,"## Final Answer

- **Total cost**: $80,000 (purchase) + $50,000 (repairs) = $130,000  
- **Value increase**: 150% of $80,000 = $120,000  
- **Final house value**: $80,000 + $120,000 = $200,000  
- **P",deepseek,deepseek-v4-flash
cba891ea,MARKDOWN,MATH,3,0,637,368,1005,6353.03,3,False,False,1.0,"## Solution

- **Distance per session**: 3 sprints × 60 meters = 180 meters
- **Sessions per week**: 3
- **Weekly total distance**: 180 meters × 3 = 540 meters

The calculation is verified and correct",deepseek,deepseek-v4-flash
0bfc541c,MARKDOWN,MATH,3,1,539,284,823,5219.24,3,False,False,1.0,"## Total Distance Run Per Week

- **Sprints per session**: 3
- **Sessions per week**: 3
- **Total sprints per week**: 3 × 3 = 9
- **Distance per sprint**: 60 meters
- **Total distance per week**: 9 × ",deepseek,deepseek-v4-flash
db09eddf,MARKDOWN,MATH,4,0,828,468,1296,7715.19,3,False,False,1.0,"## Solution

The farmer needs to provide 20 cups of feed for the final meal to meet the daily requirement.

- **Total daily feed needed**: 20 chickens × 3 cups each = 60 cups
- **Feed already given**:",deepseek,deepseek-v4-flash
895fb03d,MARKDOWN,MATH,4,1,811,442,1253,6836.14,3,False,False,1.0,"## Solution

The problem involves determining the amount of feed needed for the final meal of the day for a flock of chickens.

- **Total daily feed needed**: 20 chickens × 3 cups per chicken = 60 cup",deepseek,deepseek-v4-flash
a49b90ac,MARKDOWN,READING,0,0,759,160,919,3929.01,3,False,False,0.364,"## Super Bowl 50 AFC Team

- **AFC team:** Denver Broncos",deepseek,deepseek-v4-flash
5af336fb,MARKDOWN,READING,0,1,743,140,883,3832.61,3,False,False,0.5,"## Final Answer

- **AFC team:** Denver Broncos",deepseek,deepseek-v4-flash
f694ae29,MARKDOWN,READING,1,0,755,156,911,3874.34,3,False,False,0.364,"## Super Bowl 50 NFC Team

- **NFC team:** Carolina Panthers",deepseek,deepseek-v4-flash
c88743a4,MARKDOWN,READING,1,1,741,142,883,3447.61,3,False,False,0.364,"## Super Bowl 50 NFC Team

- **NFC team:** Carolina Panthers",deepseek,deepseek-v4-flash
8d21143d,MARKDOWN,READING,2,0,751,179,930,4037.93,3,False,False,0.667,"## Super Bowl 50 Location

- **Venue:** Levi's Stadium
- **City:** Santa Clara
- **State:** California
- **Region:** San Francisco Bay Area",deepseek,deepseek-v4-flash
22ef6ad4,MARKDOWN,READING,2,1,758,187,945,4447.17,3,False,False,0.645,"## Location of Super Bowl 50

- **Venue:** Levi's Stadium
- **City:** Santa Clara
- **State:** California
- **Region:** San Francisco Bay Area",deepseek,deepseek-v4-flash
6c6cdf28,MARKDOWN,READING,3,0,732,135,867,3951.65,3,False,False,0.5,"## Final Answer

- **Winning team:** Denver Broncos",deepseek,deepseek-v4-flash
db779948,MARKDOWN,READING,3,1,754,157,911,3800.64,3,False,False,0.5,"## Final Answer

- **Winning team:** Denver Broncos",deepseek,deepseek-v4-flash
8a234656,MARKDOWN,READING,4,0,728,114,842,3211.46,3,False,False,0.4,"## Final Answer

- **Color:** Gold",deepseek,deepseek-v4-flash
dd010954,MARKDOWN,READING,4,1,752,138,890,3904.79,3,False,False,0.4,"## Final Answer

- **Color:** Gold",deepseek,deepseek-v4-flash
bbdf500f,MARKDOWN,NEWS,0,0,912,577,1489,8542.87,3,False,False,0.352,"## Summary of Federal Reserve March 2025 Meeting

### Key Decision
- The Federal Reserve held interest rates steady at a range of **4.25%–4.50%**.

### Rationale
- **Inflation**: Remains above the 2% ",deepseek,deepseek-v4-flash
521f199c,MARKDOWN,NEWS,0,1,906,609,1515,9209.4,3,False,False,0.264,"## Summary of Federal Reserve Decision – March 2025

The Federal Reserve held interest rates steady in March 2025, maintaining the benchmark interest rate range at **4.25%–4.50%**.

### Key Economic F",deepseek,deepseek-v4-flash
ef510f1c,MARKDOWN,NEWS,1,0,863,582,1445,9214.36,3,False,False,0.266,"## Apple Q1 FY2025 Earnings Summary

Apple reported record financial results for the first quarter of fiscal year 2025, with key figures and trends as follows:

### Key Financial Figures
- **Revenue**",deepseek,deepseek-v4-flash
3480e836,MARKDOWN,NEWS,1,1,1097,845,1942,11740.16,3,False,False,0.296,"## Apple Q1 FY2025 Earnings Summary

### Key Financial Figures
- **Revenue**: $124.3 billion (up 4% year-over-year)
- **iPhone Revenue**: $69.1 billion
- **Services Revenue**: $26.3 billion (record)
-",deepseek,deepseek-v4-flash
4bd51586,MARKDOWN,NEWS,2,0,870,558,1428,8502.97,3,False,False,0.326,"## Model Q: Key Specifications and Market Impact

- **Model Name**: Model Q
- **Price**: $25,000
- **Range**: 280 miles
- **Acceleration**: 0-60 mph in 5.8 seconds
- **Target Market**: Mass-market ado",deepseek,deepseek-v4-flash
a738bd02,MARKDOWN,NEWS,2,1,862,583,1445,8714.72,3,False,False,0.274,"## Tesla Model Q Announcement Summary

### Key Specifications
- **Model name:** Model Q
- **Price:** $25,000
- **Range:** 280 miles
- **Acceleration:** 0-60 mph in 5.8 seconds
- **Production location:",deepseek,deepseek-v4-flash
db44c248,MARKDOWN,NEWS,3,0,914,608,1522,8881.23,3,False,False,0.27,"## Semiconductor Industry Update: Global Chip Shortage Easing

### Key Developments
- The global chip shortage is easing, driven primarily by TSMC's expansion efforts.
- TSMC's Arizona fab is now prod",deepseek,deepseek-v4-flash
7c9253a4,MARKDOWN,NEWS,3,1,985,782,1767,11486.06,3,False,False,0.256,"## Semiconductor Industry Analysis Summary

### Key Figures and Statistics
- **Yield rates**: 90% for 4nm chips at TSMC's Arizona fab
- **Lead times**: Dropped from 26 weeks to 14 weeks
- **Revenue gr",deepseek,deepseek-v4-flash
4f9de39d,MARKDOWN,NEWS,4,0,927,689,1616,9976.37,3,False,False,0.217,"## Summary of the EU AI Act Analysis

The European Union's AI Act is the world's first comprehensive artificial intelligence regulation, establishing a legal framework for AI systems.

### Key Facts
-",deepseek,deepseek-v4-flash
2291292d,MARKDOWN,NEWS,4,1,745,453,1198,6821.93,3,False,False,0.273,"## EU AI Act Summary

### Core Legislative Details
- **Official Name:** EU AI Act
- **Status:** Enacted (world's first comprehensive AI law)
- **Governing Body:** European Union
- **Scope:** Affects a",deepseek,deepseek-v4-flash
4c9b3c12,JSON,MATH,0,0,621,231,852,4608.86,3,False,False,1.0,"{
  ""total_eggs_per_day"": 16,
  ""eggs_used_daily"": 7,
  ""eggs_sold_daily"": 9,
  ""price_per_egg"": 2,
  ""daily_earnings"": 18,
  ""final_answer"": ""#### 18""
}",deepseek,deepseek-v4-flash
5925e1a6,JSON,MATH,0,1,606,217,823,4611.7,3,False,False,1.0,"{
  ""total_eggs_per_day"": 16,
  ""eggs_used_daily"": 7,
  ""remaining_eggs_for_sale"": 9,
  ""price_per_egg"": 2,
  ""daily_earnings"": 18,
  ""final_answer"": ""#### 18""
}",deepseek,deepseek-v4-flash
07decbd1,JSON,MATH,1,0,509,171,680,3892.85,3,False,False,1.0,"{
  ""blue_fiber_bolts"": 2,
  ""white_fiber_bolts"": 1,
  ""total_bolts"": 3,
  ""final_answer"": ""#### 3""
}",deepseek,deepseek-v4-flash
69383ca6,JSON,MATH,1,1,509,171,680,4100.72,3,False,False,1.0,"{
  ""blue_fiber_bolts"": 2,
  ""white_fiber_bolts"": 1,
  ""total_bolts"": 3,
  ""final_answer"": ""#### 3""
}",deepseek,deepseek-v4-flash
512f96e4,JSON,MATH,2,0,559,178,737,4408.39,3,False,False,1.0,"{
  ""total_cost"": 130000,
  ""increase_in_value"": 120000,
  ""final_value"": 200000,
  ""profit"": 70000,
  ""final_answer"": ""#### 70000""
}",deepseek,deepseek-v4-flash
3ca0f60c,JSON,MATH,2,1,559,178,737,4449.9,3,False,False,1.0,"{
  ""total_cost"": 130000,
  ""increased_value"": 200000,
  ""selling_price"": 200000,
  ""profit"": 70000,
  ""final_answer"": ""#### 70000""
}",deepseek,deepseek-v4-flash
3925b0bf,JSON,MATH,3,0,517,150,667,3616.84,3,False,False,1.0,"{
  ""total_meters_per_session"": 180,
  ""total_meters_per_week"": 540,
  ""final_answer"": 540
}",deepseek,deepseek-v4-flash
e7e5b2a8,JSON,MATH,3,1,518,150,668,3562.7,3,False,False,1.0,"{
  ""sprints_per_week"": 9,
  ""total_distance_per_week"": 540,
  ""final_answer"": 540
}",deepseek,deepseek-v4-flash
76574bc4,JSON,MATH,4,0,736,282,1018,5447.35,3,False,False,1.0,"{
  ""total_daily_feed_per_chicken"": 3,
  ""number_of_chickens"": 20,
  ""total_daily_feed"": 60,
  ""morning_feed"": 15,
  ""afternoon_feed"": 25,
  ""feed_given_so_far"": 40,
  ""final_meal_feed"": 20,
  ""final_",deepseek,deepseek-v4-flash
5029e125,JSON,MATH,4,1,729,261,990,5005.89,3,False,False,1.0,"{
  ""total_daily_feed_per_chicken"": 3,
  ""number_of_chickens"": 20,
  ""total_daily_feed"": 60,
  ""morning_feed"": 15,
  ""afternoon_feed"": 25,
  ""given_feed"": 40,
  ""final_meal_feed"": 20
}",deepseek,deepseek-v4-flash
f7d0c2fa,JSON,READING,0,0,790,120,910,3327.6,3,False,False,0.571,"{
  ""AFC_champion_team"": ""Denver Broncos""
}",deepseek,deepseek-v4-flash
76db63db,JSON,READING,0,1,788,145,933,3794.41,3,False,False,0.267,"{
  ""afc_champion"": ""Denver Broncos"",
  ""afc_representative"": ""Denver Broncos"",
  ""verification"": true,
  ""answer"": ""Denver Broncos""
}",deepseek,deepseek-v4-flash
264a7f8e,JSON,READING,1,0,788,147,935,3808.22,3,False,False,0.235,"{
  ""nfc_champion"": ""Carolina Panthers"",
  ""nfc_team"": ""Carolina Panthers"",
  ""is_nfc_team"": true,
  ""answer"": ""Carolina Panthers""
}",deepseek,deepseek-v4-flash
2f5ff00a,JSON,READING,1,1,901,226,1127,4795.01,3,False,False,0.8,"{
  ""answer"": ""Carolina Panthers""
}",deepseek,deepseek-v4-flash
b4effd07,JSON,READING,2,0,828,166,994,4059.36,3,False,False,0.6,"{
  ""final_answer"": ""Levi's Stadium, Santa Clara, California""
}",deepseek,deepseek-v4-flash
8182f895,JSON,READING,2,1,766,103,869,3424.28,3,False,False,0.7,"{
  ""location"": ""Levi's Stadium in Santa Clara, California""
}",deepseek,deepseek-v4-flash
8c6d0da6,JSON,READING,3,0,796,127,923,3485.38,3,False,False,0.8,"{
  ""answer"": ""Denver Broncos""
}",deepseek,deepseek-v4-flash
a830f6be,JSON,READING,3,1,846,177,1023,4065.0,3,False,False,0.8,"{
  ""answer"": ""Denver Broncos""
}",deepseek,deepseek-v4-flash
bbbc078f,JSON,READING,4,0,875,216,1091,4548.06,3,False,False,0.125,"{
  ""color"": ""gold"",
  ""reason"": ""All subtasks consistently identify 'gold' as the color representing the 50th anniversary of the NBA.""
}",deepseek,deepseek-v4-flash
b0c8e328,JSON,READING,4,1,805,120,925,3444.48,3,False,False,0.667,"{
  ""color"": ""gold""
}",deepseek,deepseek-v4-flash
256728b8,JSON,NEWS,0,0,926,657,1583,9040.09,3,False,False,0.272,"{
  ""summary"": ""The Federal Reserve held its benchmark interest rate at 4.25%-4.50% in March 2025. Inflation is at 2.8% (above 2% target) and unemployment is 3.9%. The Fed signaled two possible rate c",deepseek,deepseek-v4-flash
5d7baf6b,JSON,NEWS,0,1,897,463,1360,7651.14,3,False,False,0.469,"{
  ""event"": ""Federal Reserve Meeting March 2025"",
  ""decision"": ""Held interest rates steady at 4.25%-4.50%"",
  ""context"": ""Inflation above target (2.8%), labor market strong (unemployment 3.9%)"",
  """,deepseek,deepseek-v4-flash
cb0a5322,JSON,NEWS,1,0,829,469,1298,7633.43,3,False,False,0.258,"{
  ""company"": ""Apple"",
  ""fiscal_quarter"": ""Q1 FY2025"",
  ""revenue_usd"": 124300000000,
  ""revenue_growth_percentage"": 4,
  ""iphone_revenue_usd"": 69100000000,
  ""services_revenue_usd"": 26300000000,
  ",deepseek,deepseek-v4-flash
3255532f,JSON,NEWS,1,1,752,364,1116,6108.98,3,False,False,0.524,"{
  ""revenue"": ""124.3 billion"",
  ""revenue_yoy_change"": ""up 4%"",
  ""iphone_revenue"": ""69.1 billion"",
  ""services_revenue"": ""26.3 billion"",
  ""services_revenue_record"": true,
  ""eps"": ""2.40"",
  ""eps_vs",deepseek,deepseek-v4-flash
7d2d94ce,JSON,NEWS,2,0,787,414,1201,7208.91,3,False,False,0.197,"{
  ""product_name"": ""Model Q"",
  ""price"": 25000,
  ""range_miles"": 280,
  ""acceleration_0_60_mph_seconds"": 5.8,
  ""production_location"": ""Gigafactory Texas"",
  ""production_timeline"": ""Q3 2025"",
  ""stoc",deepseek,deepseek-v4-flash
86c54281,JSON,NEWS,2,1,760,369,1129,6068.41,3,False,False,0.209,"{
  ""product_name"": ""Model Q"",
  ""price_usd"": 25000,
  ""range_miles"": 280,
  ""acceleration_0_60_mph_seconds"": 5.8,
  ""production_location"": ""Gigafactory Texas"",
  ""production_timeline"": ""Q3 2025"",
  """,deepseek,deepseek-v4-flash
9da33a59,JSON,NEWS,3,0,859,527,1386,8264.06,3,False,False,0.396,"{
  ""main_point"": ""Global chip shortage easing due to TSMC expansion."",
  ""key_facts"": ""TSMC Arizona fab producing 4nm chips at 90% yield rates."",
  ""key_figures"": ""Lead times dropped from 26 to 14 we",deepseek,deepseek-v4-flash
